line_id,order_id,book_id,price
1,4830,10528,19.01
2,4622,8037,9.67
3,659,10576,7.72
4,4084,5806,8.22
5,3348,233,14.04
6,4966,9568,13.96
7,2600,4445,3.14
8,4638,6159,0.48
9,937,9603,9.87
10,4987,9447,11.81
11,4256,4731,8.68
12,3972,6784,9.01
13,6843,8516,1.73
14,6590,4249,6.68
15,1334,1562,6.04
16,5347,10978,8.74
17,3517,8290,13.43
18,5791,2632,16.35
19,3075,5061,7.50
20,849,904,16.31
21,502,4021,19.41
22,3741,7372,18.09
23,5625,8849,8.12
24,2903,7308,17.54
25,6474,9704,4.49
26,4451,1544,7.12
27,681,4906,16.61
28,6125,7881,15.65
29,5842,9811,2.82
30,2792,4071,4.15
31,6571,10507,15.17
32,3439,8301,3.17
33,3666,4314,1.04
34,5758,2657,14.38
35,1101,3118,7.73
36,4816,4781,12.23
37,6897,866,13.61
38,1666,10973,18.85
39,7018,8670,12.66
40,1567,8919,2.52
41,6322,1289,18.82
42,6695,5787,12.84
43,4348,548,13.77
44,1787,5777,3.47
45,5767,2102,6.17
46,6776,4519,7.34
47,5294,5207,0.19
48,2129,5944,12.53
49,7202,4253,16.68
50,3267,4155,9.16
51,814,10815,1.23
52,1322,5039,9.58
53,6596,317,5.60
54,6144,10847,13.57
55,1449,7768,2.31
56,1554,1263,16.09
57,3572,3483,1.16
58,4577,3322,16.48
59,6553,6654,1.89
60,2544,2667,12.98
61,402,6182,14.92
62,7461,420,9.92
63,5674,3180,8.58
64,3295,6366,10.12
65,4735,7159,15.19
66,6365,7541,11.68
67,3456,1974,5.20
68,6148,9360,13.51
69,3123,5753,16.94
70,3890,2160,4.53
71,5367,9332,7.16
72,3914,9851,1.49
73,120,6933,12.62
74,2862,135,13.86
75,4364,5230,0.88
76,1728,8089,10.11
77,6278,9343,12.57
78,5561,690,14.61
79,2308,9657,9.47
80,2334,5026,1.80
81,2896,4239,1.94
82,5417,10508,5.74
83,1342,8611,5.54
84,3796,3158,3.22
85,4586,4947,17.06
86,2484,6669,8.14
87,4853,5407,1.68
88,1005,3269,1.79
89,3392,7346,9.86
90,6974,3923,4.83
91,4716,5467,13.59
92,4263,8563,3.01
93,4529,4214,18.85
94,2268,9768,9.09
95,6311,5281,17.05
96,4659,4533,0.84
97,3773,6647,18.96
98,361,9634,0.16
99,3637,8900,10.09
100,7265,3821,2.94
101,1454,2610,19.06
102,5954,7519,2.26
103,7332,10442,17.39
104,5176,7105,11.78
105,564,7083,11.92
106,5014,312,0.82
107,4379,7456,12.55
108,3090,5641,3.48
109,753,5393,12.92
110,5911,7006,13.31
111,7052,497,7.66
112,4544,4151,16.38
113,4155,7443,18.80
114,1108,7102,6.58
115,742,1671,8.63
116,4266,6105,5.96
117,749,9499,14.89
118,948,8079,3.70
119,7182,11069,19.68
120,1552,4384,2.45
121,2934,7088,12.38
122,4767,6572,8.55
123,4355,532,8.88
124,2566,11034,12.10
